trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.5, 'e': 0.22090997795937822}",20,14,12.168241580065303,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",30,11,21.474768683661143,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,14,11.88518438679897,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",20,0,18.90730330869168,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21224797382674307}",20,11,2.13256702416205,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076475}",25,18,14.870203278996955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,18,9.962280740378805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488347}",30,12,31.837469753014215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421345}",20,0,10.552560102785677,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",20,9,14.968934736858108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,13,0.6884185372246163,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361468}",20,11,3.177481954982579,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,13,-0.56525942542031,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,2,17.404072026365515,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1920499086207541}",20,10,17.914701150570405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152053}",35,23,20.207009470169805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",30,16,0.9436163997805249,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941}",35,0,-19.47640140470626,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.1845195239929893}",25,7,-15.942014782784195,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,9,24.906994409727545,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,12,11.64438594453718,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149325}",20,2,3.190987716254236,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,14,12.763242554988478,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",25,3,30.072761846413677,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,12,5.803844199397661,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,5,-18.772039025316687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540945}",20,5,24.47499962398651,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859552}",25,13,6.854152484070838,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16696016966704072}",20,9,-4.374714199596098,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158656}",20,14,10.006555149997274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270408}",25,0,-29.73695381489145,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.16202575093388077}",25,3,28.86987539683247,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517277}",20,13,1.8821947659169276,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.1588174261069207}",25,5,22.0086979842315,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",25,13,-11.421663452366111,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,20,3.942352423535402,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15412366181513143}",25,14,20.87284390580061,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,11,7.962820577871831,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",25,0,22.414762924085956,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.14956861922263506}",20,7,12.257014518649196,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,0,30.116680985989145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,0,-8.517654177203784,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.14514819848362376}",25,15,12.754153154251583,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770296}",20,9,-27.483614972635365,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,2,24.65540323515783,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",20,14,8.981569221110838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",25,13,6.983380943004663,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,15,18.46489824143379,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552388}",25,16,8.757058918002425,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,11,16.57599159925142,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880496}",20,16,7.344842235220009,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
